date,region,driving,walking,Detected State,Cases,Deceased,Recovered,Migrated,Migrated_Other
2020-06-01,Delhi,37.85,37.35,Delhi,990,50,268,NA,NA
2020-06-02,Delhi,35.38,34.65,Delhi,1298,33,497,NA,NA
2020-06-03,Delhi,35.39,35.41,Delhi,1513,59,299,NA,NA
2020-06-04,Delhi,34.93,33.29,Delhi,1359,44,356,NA,NA
2020-06-05,Delhi,37.58,33.73,Delhi,1330,49,417,NA,NA
2020-06-06,Delhi,35.81,34.86,Delhi,1320,53,349,NA,NA
2020-06-07,Delhi,38.67,34.68,Delhi,1282,51,335,NA,NA
2020-06-08,Delhi,42.79,38.39,Delhi,1007,62,358,NA,NA
2020-06-09,Delhi,43.45,38.39,Delhi,1366,31,504,NA,NA
2020-06-10,Delhi,44.37,37.74,Delhi,1501,79,384,NA,NA
2020-06-11,Delhi,43.45,36.91,Delhi,1877,101,486,NA,NA
2020-06-12,Delhi,43.61,37.03,Delhi,2137,129,667,NA,NA
2020-06-13,Delhi,42.67,34.95,Delhi,2134,57,1547,NA,NA
2020-06-14,Delhi,40.3,36.13,Delhi,2224,56,878,NA,NA
2020-06-15,Delhi,42.45,36.87,Delhi,1647,73,604,NA,NA
2020-06-16,Delhi,40.31,36.11,Delhi,1859,437,73,NA,NA
2020-06-17,Delhi,41.66,36.34,Delhi,2414,67,957,NA,NA
2020-06-18,Delhi,39.89,34.38,Delhi,2877,65,3884,NA,NA
2020-06-19,Delhi,40.94,36.61,Delhi,3137,66,2228,NA,NA
