State,Date,Retail and Recreation,Grocery and Pharmacy,Parks,Transit,Workplaces,Residential,Confirmed,Recovered,Deceased
Chandigarh,2020-03-31,-90,-84,-81,-89,-79,34,2,0,0
Chandigarh,2020-04-01,-91,-87,-82,-90,-81,36,2,0,0
Chandigarh,2020-04-02,-91,-87,-83,-90,-83,37,1,0,0
Chandigarh,2020-04-03,-90,-84,-82,-90,-79,37,0,0,0
Chandigarh,2020-04-04,-91,-86,-82,-89,-74,33,0,3,0
Chandigarh,2020-04-05,-90,-86,-84,-89,-60,25,0,2,0
Chandigarh,2020-04-06,-90,-84,-80,-90,-81,35,0,0,0
Chandigarh,2020-04-07,-91,-79,-77,-85,-77,33,0,2,0
Chandigarh,2020-04-08,-92,-82,-79,-86,-79,36,0,0,0
Chandigarh,2020-04-09,-92,-81,-80,-86,-78,36,0,0,0
Chandigarh,2020-04-10,-93,-82,-81,-88,-81,39,1,0,0
Chandigarh,2020-04-11,-93,-83,-82,-87,-75,34,0,0,0
Chandigarh,2020-04-12,-93,-84,-84,-87,-60,26,2,0,0
Chandigarh,2020-04-13,-92,-80,-80,-87,-77,35,0,0,0
Chandigarh,2020-04-14,-92,-82,-80,-87,-81,36,0,0,0
Chandigarh,2020-04-15,-92,-81,-82,-86,-77,36,0,2,0
Chandigarh,2020-04-16,-94,-80,-98,-82,-78,36,0,0,0
Chandigarh,2020-04-17,-94,-79,-99,-84,-77,37,0,0,0
Chandigarh,2020-04-18,-95,-82,-99,-82,-73,33,2,0,0
Chandigarh,2020-04-19,-95,-83,-99,-83,-62,26,3,4,0
Chandigarh,2020-04-20,-94,-79,-99,-84,-76,35,0,1,0
Chandigarh,2020-04-21,-94,-79,-98,-82,-78,35,1,0,0
Chandigarh,2020-04-22,-94,-81,-99,-83,-78,37,0,0,0
Chandigarh,2020-04-23,-94,-81,-99,-83,-78,37,0,0,0
Chandigarh,2020-04-24,-95,-81,-99,-84,-78,39,0,1,0
Chandigarh,2020-04-25,-95,-82,-99,-83,-75,35,1,0,0
Chandigarh,2020-04-26,-95,-84,-99,-84,-61,27,8,2,0
Chandigarh,2020-04-27,-94,-80,-99,-84,-77,35,9,0,0
Chandigarh,2020-04-28,-94,-80,-99,-83,-78,35,11,0,0
Chandigarh,2020-04-29,-94,-81,-99,-83,-78,37,12,0,0
Chandigarh,2020-04-30,-94,-82,-98,-83,-78,37,6,1,0
Chandigarh,2020-05-01,-94,-81,-99,-85,-77,38,14,0,0
Chandigarh,2020-05-02,-94,-82,-98,-83,-72,34,6,1,0
Chandigarh,2020-05-03,-95,-85,-99,-85,-62,27,3,0,1
Chandigarh,2020-05-04,-84,-56,-98,-76,-65,29,5,2,0
Chandigarh,2020-05-05,-85,-59,-98,-74,-65,30,17,0,0
Chandigarh,2020-05-06,-84,-61,-98,-73,-64,31,5,0,0
Chandigarh,2020-05-07,-85,-64,-97,-74,-68,32,11,0,0
Chandigarh,2020-05-08,-85,-61,-97,-75,-61,31,11,0,1
Chandigarh,2020-05-09,-87,-65,-97,-74,-60,29,23,3,0
Chandigarh,2020-05-10,-91,-75,-97,-78,-55,24,4,0,1
Chandigarh,2020-05-11,-83,-57,-97,-72,-58,27,8,4,0
Chandigarh,2020-05-12,-84,-60,-97,-69,-61,28,6,2,0
Chandigarh,2020-05-13,-85,-62,-97,-69,-61,29,4,0,0
Chandigarh,2020-05-14,-84,-63,-97,-70,-60,28,0,7,0
Chandigarh,2020-05-15,-84,-61,-97,-71,-58,28,0,3,0
Chandigarh,2020-05-16,-85,-63,-97,-69,-53,26,0,11,0
Chandigarh,2020-05-17,-89,-71,-97,-72,-48,22,0,0,0
Chandigarh,2020-05-18,-80,-54,-96,-70,-52,25,5,3,0
Chandigarh,2020-05-19,-77,-49,-95,-62,-52,24,3,3,0
Chandigarh,2020-05-20,-76,-51,-94,-62,-53,25,3,79,0
Chandigarh,2020-05-21,-76,-51,-95,-60,-52,25,16,42,0
Chandigarh,2020-05-22,-77,-50,-94,-63,-50,25,1,0,0
Chandigarh,2020-05-23,-78,-53,-94,-60,-48,23,6,1,0
Chandigarh,2020-05-24,-86,-66,-95,-66,-43,20,37,0,1
Chandigarh,2020-05-25,-75,-48,-94,-65,-61,25,4,8,0
Chandigarh,2020-05-26,-74,-46,-94,-59,-51,23,12,0,0
Chandigarh,2020-05-27,-75,-49,-94,-58,-50,23,1,0,0
Chandigarh,2020-05-28,-75,-48,-93,-58,-49,23,10,2,0
Chandigarh,2020-05-29,-76,-47,-93,-62,-48,24,0,0,0
Chandigarh,2020-05-30,-75,-47,-94,-57,-39,21,0,10,0
Chandigarh,2020-05-31,-84,-62,-94,-65,-36,19,4,0,0
Chandigarh,2020-06-01,-69,-35,-91,-56,-41,18,4,15,0
Chandigarh,2020-06-02,-67,-33,-89,-50,-43,19,4,0,1
Chandigarh,2020-06-03,-70,-39,-91,-50,-44,20,0,0,0
Chandigarh,2020-06-04,-70,-41,-91,-51,-43,20,1,8,0
Chandigarh,2020-06-05,-67,-37,-87,-55,-45,21,7,51,0
Chandigarh,2020-06-06,-68,-40,-87,-51,-35,17,3,0,0
Chandigarh,2020-06-07,-77,-51,-88,-55,-32,16,2,1,0
Chandigarh,2020-06-08,-61,-30,-85,-52,-37,16,6,11,0
Chandigarh,2020-06-09,-63,-34,-84,-47,-40,17,6,0,0
Chandigarh,2020-06-10,-64,-36,-85,-47,-42,17,2,4,0
Chandigarh,2020-06-11,-64,-38,-85,-48,-41,18,4,4,0
Chandigarh,2020-06-12,-63,-32,-85,-50,-40,17,13,2,0
Chandigarh,2020-06-13,-72,-47,-86,-57,-42,20,5,0,0
Chandigarh,2020-06-14,-79,-58,-89,-62,-34,18,2,0,0
Chandigarh,2020-06-15,-60,-29,-83,-53,-38,15,5,6,1
Chandigarh,2020-06-16,-61,-32,-82,-50,-41,16,8,1,0
Chandigarh,2020-06-17,-63,-37,-84,-49,-42,17,5,4,0
Chandigarh,2020-06-18,-63,-37,-84,-51,-41,17,4,0,0
Chandigarh,2020-06-19,-63,-34,-84,-53,-41,17,7,9,0
Chandigarh,2020-06-20,-66,-40,-85,-53,-34,16,23,1,0
Chandigarh,2020-06-21,-79,-60,-88,-65,-38,19,2,0,0
Chandigarh,2020-06-22,-57,-27,-81,-53,-38,14,5,6,0
Chandigarh,2020-06-23,-59,-30,-79,-48,-41,15,7,0,0
Chhattisgarh,2020-03-21,-36,-14,-24,-28,-20,9,0,0,0
Chhattisgarh,2020-03-22,-75,-75,-54,-70,-40,23,0,0,0
Chhattisgarh,2020-03-23,-56,-39,-32,-60,-38,17,0,0,0
Chhattisgarh,2020-03-24,-64,-50,-39,-67,-50,21,0,0,0
Chhattisgarh,2020-03-25,-69,-58,-47,-73,-56,25,2,0,0
Chhattisgarh,2020-03-26,-70,-59,-46,-74,-57,26,3,0,0
Chhattisgarh,2020-03-27,-71,-62,-46,-74,-56,26,0,0,0
Chhattisgarh,2020-03-28,-72,-63,-48,-75,-56,27,1,0,0
Chhattisgarh,2020-03-29,-72,-63,-52,-75,-35,22,0,0,0
Chhattisgarh,2020-03-30,-70,-61,-45,-75,-55,27,1,0,0
Chhattisgarh,2020-03-31,-69,-60,-45,-73,-53,25,1,2,0
Chhattisgarh,2020-04-01,-70,-62,-47,-74,-54,25,0,0,0
Chhattisgarh,2020-04-02,-69,-61,-46,-74,-55,26,0,1,0
Chhattisgarh,2020-04-03,-67,-58,-44,-72,-50,24,0,0,0
Chhattisgarh,2020-04-04,-69,-60,-46,-73,-48,24,1,0,0
Chhattisgarh,2020-04-05,-70,-62,-51,-73,-29,20,0,5,0
Chhattisgarh,2020-04-06,-70,-61,-43,-74,-56,27,0,0,0
Chhattisgarh,2020-04-07,-70,-43,-43,-69,-51,23,0,1,0
Chhattisgarh,2020-04-08,-71,-45,-46,-70,-51,24,0,0,0
Chhattisgarh,2020-04-09,-71,-44,-45,-70,-51,24,8,0,0
Chhattisgarh,2020-04-10,-72,-46,-46,-70,-53,26,0,0,0
Chhattisgarh,2020-04-11,-72,-47,-47,-71,-50,26,7,0,0
Chhattisgarh,2020-04-12,-73,-49,-52,-72,-30,21,6,1,0
Chhattisgarh,2020-04-13,-71,-46,-45,-71,-50,26,0,0,0
Chhattisgarh,2020-04-14,-71,-45,-43,-70,-53,25,2,3,0
Chhattisgarh,2020-04-15,-71,-40,-45,-68,-46,24,0,4,0
Chhattisgarh,2020-04-16,-80,-25,-59,-68,-49,24,3,6,0
Chhattisgarh,2020-04-17,-84,-41,-61,-70,-50,27,0,1,0
Chhattisgarh,2020-04-18,-85,-48,-64,-73,-49,27,0,1,0
Chhattisgarh,2020-04-19,-85,-47,-67,-72,-31,22,0,0,0
Chhattisgarh,2020-04-20,-81,-31,-60,-69,-45,25,0,0,0
Chhattisgarh,2020-04-21,-80,-27,-59,-67,-42,21,0,0,0
Chhattisgarh,2020-04-22,-80,-27,-60,-66,-41,21,0,3,0
Chhattisgarh,2020-04-23,-79,-27,-60,-66,-41,22,0,2,0
Chhattisgarh,2020-04-24,-79,-26,-60,-65,-37,22,0,0,0
Chhattisgarh,2020-04-25,-79,-27,-61,-66,-37,22,1,2,0
Chhattisgarh,2020-04-26,-80,-33,-65,-68,-22,19,0,0,0
Chhattisgarh,2020-04-27,-78,-23,-59,-65,-37,22,0,0,0
Chhattisgarh,2020-04-28,-77,-21,-58,-63,-36,19,1,2,0
Chhattisgarh,2020-04-29,-78,-23,-59,-64,-35,20,0,0,0
Chhattisgarh,2020-04-30,-77,-20,-58,-63,-35,20,2,2,0
Chhattisgarh,2020-05-01,-78,-22,-58,-63,-34,21,3,0,0
Chhattisgarh,2020-05-02,-78,-26,-60,-64,-32,21,0,0,0
Chhattisgarh,2020-05-03,-79,-29,-63,-66,-19,17,14,0,0
Chhattisgarh,2020-05-04,-74,-11,-55,-58,-30,17,1,0,0
Chhattisgarh,2020-05-05,-74,-10,-55,-57,-29,16,1,0,0
Chhattisgarh,2020-05-06,-72,-5,-56,-54,-27,16,0,0,0
Chhattisgarh,2020-05-07,-71,-4,-56,-55,-35,17,0,0,0
Chhattisgarh,2020-05-08,-69,2,-56,-51,-24,15,0,2,0
Chhattisgarh,2020-05-09,-84,-47,-62,-73,-47,24,0,5,0
Chhattisgarh,2020-05-10,-83,-46,-64,-72,-27,19,0,6,0
Chhattisgarh,2020-05-11,-67,9,-54,-49,-24,15,0,4,0
Chhattisgarh,2020-05-12,-68,4,-54,-50,-24,15,0,1,0
Chhattisgarh,2020-05-13,-68,3,-56,-50,-23,14,0,1,0
Chhattisgarh,2020-05-14,-66,3,-55,-50,-24,13,1,1,0
Chhattisgarh,2020-05-15,-64,11,-53,-46,-20,12,6,0,0
Chhattisgarh,2020-05-16,-79,-35,-58,-67,-39,20,1,2,0
Chhattisgarh,2020-05-17,-80,-38,-62,-67,-23,17,18,1,0
Chhattisgarh,2020-05-18,-63,18,-53,-45,-21,13,10,0,0
Chhattisgarh,2020-05-19,-63,14,-53,-45,-19,12,5,0,0
Chhattisgarh,2020-05-20,-62,12,-55,-46,-19,12,14,0,0
Chhattisgarh,2020-05-21,-62,13,-55,-46,-19,13,14,0,0
Chhattisgarh,2020-05-22,-62,13,-54,-44,-16,12,44,3,0
Chhattisgarh,2020-05-23,-79,-37,-59,-65,-41,21,42,2,0
Chhattisgarh,2020-05-24,-80,-38,-63,-66,-22,17,38,0,0
Chhattisgarh,2020-05-25,-63,15,-53,-47,-31,16,40,3,0
Chhattisgarh,2020-05-26,-63,9,-54,-48,-17,12,68,12,0
Chhattisgarh,2020-05-27,-63,7,-55,-47,-17,13,4,4,0
Chhattisgarh,2020-05-28,-62,9,-54,-48,-18,13,34,0,0
Chhattisgarh,2020-05-29,-61,15,-54,-44,-14,12,17,17,1
Chhattisgarh,2020-05-30,-67,-6,-56,-55,-17,13,32,2,0
Chhattisgarh,2020-05-31,-75,-25,-60,-59,-13,14,51,12,0
Chhattisgarh,2020-06-01,-58,22,-52,-43,-15,11,49,7,0
Chhattisgarh,2020-06-02,-60,14,-52,-45,-16,10,15,9,1
Chhattisgarh,2020-06-03,-59,16,-53,-42,-15,10,64,40,0
Chhattisgarh,2020-06-04,-59,16,-53,-44,-16,10,147,36,0
Chhattisgarh,2020-06-05,-56,19,-51,-42,-17,11,90,25,0
Chhattisgarh,2020-06-06,-62,0,-54,-51,-15,12,60,28,2
Chhattisgarh,2020-06-07,-71,-19,-57,-55,-12,12,150,7,0
Chhattisgarh,2020-06-08,-56,22,-50,-43,-16,10,124,69,0
Chhattisgarh,2020-06-09,-59,13,-51,-46,-17,10,14,12,1
Chhattisgarh,2020-06-10,-57,15,-51,-43,-16,9,51,4,1
Chhattisgarh,2020-06-11,-57,12,-53,-44,-18,11,136,70,0
Chhattisgarh,2020-06-12,-54,20,-51,-41,-15,9,47,123,0
Chhattisgarh,2020-06-13,-57,9,-52,-46,-24,11,105,87,0
Chhattisgarh,2020-06-14,-63,-1,-55,-48,-10,9,121,88,3
Chhattisgarh,2020-06-15,-54,17,-50,-43,-19,10,44,124,0
Chhattisgarh,2020-06-16,-54,16,-50,-43,-18,9,69,91,0
Chhattisgarh,2020-06-17,-53,16,-52,-41,-18,9,80,165,0
Chhattisgarh,2020-06-18,-52,18,-51,-41,-18,9,82,103,0
Chhattisgarh,2020-06-19,-52,16,-51,-41,-15,9,72,103,1
Chhattisgarh,2020-06-20,-56,5,-54,-46,-19,10,116,63,1
Chhattisgarh,2020-06-21,-66,-16,-59,-55,-12,13,121,53,0
Chhattisgarh,2020-06-22,-61,-1,-54,-49,-24,14,47,66,1
Chhattisgarh,2020-06-23,-52,21,-50,-42,-22,10,83,40,0
Dadra and Nagar Haveli,2020-03-21,-5,NA,-22,-30,-1,4,0,0,0
Dadra and Nagar Haveli,2020-03-22,-71,NA,-58,-63,-49,23,0,0,0
Dadra and Nagar Haveli,2020-03-23,-33,NA,-26,-42,-18,11,0,0,0
Dadra and Nagar Haveli,2020-03-24,-50,NA,-40,-53,-45,19,0,0,0
Dadra and Nagar Haveli,2020-03-25,-68,-63,-52,-61,-70,31,0,0,0
Dadra and Nagar Haveli,2020-03-26,-68,-61,-51,-57,-70,32,0,0,0
Dadra and Nagar Haveli,2020-03-27,-69,-66,-56,-55,-70,33,0,0,0
Dadra and Nagar Haveli,2020-03-28,-70,-68,-54,-58,-71,34,0,0,0
Dadra and Nagar Haveli,2020-03-29,-72,-73,-62,-59,-60,28,0,0,0
Dadra and Nagar Haveli,2020-03-30,-70,-69,-54,-67,-70,34,0,0,0
Dadra and Nagar Haveli,2020-03-31,-70,-66,-53,-71,-69,32,0,0,0
Dadra and Nagar Haveli,2020-04-01,-71,-68,-55,-67,-69,32,0,0,0
Dadra and Nagar Haveli,2020-04-02,-72,-70,-54,-71,-70,34,0,0,0
Dadra and Nagar Haveli,2020-04-03,-70,-68,-55,-71,-67,33,0,0,0
Dadra and Nagar Haveli,2020-04-04,-70,-66,-53,-66,-66,32,0,0,0
Dadra and Nagar Haveli,2020-04-05,-70,-66,-61,-69,-54,26,0,0,0
Dadra and Nagar Haveli,2020-04-06,-72,-70,-52,-73,-69,33,0,0,0
Dadra and Nagar Haveli,2020-04-07,-74,-62,-47,-69,-69,32,0,0,0
Dadra and Nagar Haveli,2020-04-08,-75,-62,-48,-67,-69,33,0,0,0
Dadra and Nagar Haveli,2020-04-09,-75,-62,-47,-71,-68,35,0,0,0
Dadra and Nagar Haveli,2020-04-10,-74,-58,-49,-61,-68,35,0,0,0
Dadra and Nagar Haveli,2020-04-11,-74,-62,-51,-64,-66,35,0,0,0
Dadra and Nagar Haveli,2020-04-12,-74,-58,-58,-69,-53,29,0,0,0
Dadra and Nagar Haveli,2020-04-13,-72,-57,-46,-75,-64,35,0,0,0
Dadra and Nagar Haveli,2020-04-14,-72,-57,-44,-71,-64,33,0,0,0
Dadra and Nagar Haveli,2020-04-15,-71,-49,-47,-67,-62,32,0,0,0
Dadra and Nagar Haveli,2020-04-16,-80,-41,-70,-69,-62,33,0,0,0
Dadra and Nagar Haveli,2020-04-17,-79,-37,-73,-73,-61,34,0,0,0
Dadra and Nagar Haveli,2020-04-18,-81,-44,-73,-73,-60,34,0,0,0
Dadra and Nagar Haveli,2020-04-19,-80,-41,-78,-70,-48,28,0,0,0
Dadra and Nagar Haveli,2020-04-20,-80,-41,-71,-76,-57,33,0,0,0
Dadra and Nagar Haveli,2020-04-21,-79,-34,-70,-80,-57,31,0,0,0
Dadra and Nagar Haveli,2020-04-22,-80,-35,-70,-79,-56,31,0,0,0
Dadra and Nagar Haveli,2020-04-23,-79,-34,-73,-79,-55,32,0,0,0
Dadra and Nagar Haveli,2020-04-24,-78,-30,-71,-76,-52,30,0,0,0
Dadra and Nagar Haveli,2020-04-25,-78,-35,-74,-77,-49,30,0,0,0
Dadra and Nagar Haveli,2020-04-26,-77,-33,-77,-72,-36,25,0,0,0
Dadra and Nagar Haveli,2020-04-27,-76,-28,-68,-79,-45,30,0,0,0
Dadra and Nagar Haveli,2020-04-28,-73,-10,-67,-72,-41,25,0,0,0
Dadra and Nagar Haveli,2020-04-29,-72,-2,-67,-73,-38,25,0,0,0
Dadra and Nagar Haveli,2020-04-30,-72,-2,-65,-75,-37,25,0,0,0
Dadra and Nagar Haveli,2020-05-01,-71,4,-68,-72,-41,27,0,0,0
Dadra and Nagar Haveli,2020-05-02,-71,-6,-67,-77,-32,25,0,0,0
Dadra and Nagar Haveli,2020-05-03,-69,-1,-75,-71,-20,21,0,0,0
Dadra and Nagar Haveli,2020-05-04,-66,5,-59,-72,-28,22,0,0,0
Dadra and Nagar Haveli,2020-05-05,-64,16,-59,-68,-27,20,1,0,0
Dadra and Nagar Haveli,2020-05-06,-64,25,-62,-73,-26,19,0,0,0
Dadra and Nagar Haveli,2020-05-07,-65,18,-60,-70,-25,20,0,0,0
Dadra and Nagar Haveli,2020-05-08,-64,29,-62,-69,-23,20,0,0,0
Dadra and Nagar Haveli,2020-05-09,-65,11,-62,-70,-23,20,0,0,0
Dadra and Nagar Haveli,2020-05-10,-61,29,-68,-66,-12,18,0,0,0
Dadra and Nagar Haveli,2020-05-11,-63,18,-56,-69,-21,20,0,0,0
Dadra and Nagar Haveli,2020-05-12,-64,28,-59,-67,-23,18,0,1,0
Dadra and Nagar Haveli,2020-05-13,-61,18,-57,-62,-22,17,0,0,0
Dadra and Nagar Haveli,2020-05-14,-57,14,-57,-56,-21,16,0,0,0
Dadra and Nagar Haveli,2020-05-15,-56,35,-57,-50,-19,17,0,0,0
Dadra and Nagar Haveli,2020-05-16,-57,24,-58,-49,-18,18,0,0,0
Dadra and Nagar Haveli,2020-05-17,-50,38,-65,-43,-9,16,0,0,0
Dadra and Nagar Haveli,2020-05-18,-56,23,-56,-55,-20,17,0,0,0
Dadra and Nagar Haveli,2020-05-19,-57,23,-52,-53,-19,16,0,0,0
Dadra and Nagar Haveli,2020-05-20,-57,31,-53,-55,-18,16,0,0,0
Dadra and Nagar Haveli,2020-05-21,-56,24,-55,-56,-19,17,0,0,0
Dadra and Nagar Haveli,2020-05-22,-57,40,-56,-51,-17,16,0,0,0
Dadra and Nagar Haveli,2020-05-23,-57,35,-57,-45,-19,16,1,0,0
Dadra and Nagar Haveli,2020-05-24,-53,36,-66,-42,-4,15,0,0,0
Dadra and Nagar Haveli,2020-05-25,-57,22,-50,-52,-22,18,0,0,0
Dadra and Nagar Haveli,2020-05-26,-54,29,-54,-55,-19,14,0,0,0
Dadra and Nagar Haveli,2020-05-27,-56,25,-55,-58,-18,14,0,0,0
Dadra and Nagar Haveli,2020-05-28,-58,13,-56,-59,-18,15,0,0,0
Dadra and Nagar Haveli,2020-05-29,-58,32,-57,-55,-18,16,0,0,0
Dadra and Nagar Haveli,2020-05-30,-58,23,-56,-44,-14,15,0,0,0
Dadra and Nagar Haveli,2020-05-31,-54,33,-63,-46,-6,14,0,0,0
Dadra and Nagar Haveli,2020-06-01,-52,30,-52,-55,-16,14,1,0,0
Dadra and Nagar Haveli,2020-06-02,-55,33,-52,-51,-18,12,0,0,0
Dadra and Nagar Haveli,2020-06-03,-61,15,-62,-54,-39,23,8,0,0
Dadra and Nagar Haveli,2020-06-04,-57,21,-60,-52,-16,13,3,0,0
Dadra and Nagar Haveli,2020-06-05,-53,51,-56,-44,-12,12,0,0,0
Dadra and Nagar Haveli,2020-06-06,-52,38,-59,-32,-11,13,5,0,0
Dadra and Nagar Haveli,2020-06-07,-48,46,-63,-37,5,11,1,1,0
Dadra and Nagar Haveli,2020-06-08,-50,36,-50,-43,-11,12,2,0,0
Dadra and Nagar Haveli,2020-06-09,-51,34,-50,-40,-13,11,2,0,0
Dadra and Nagar Haveli,2020-06-10,-49,34,-48,-40,-13,11,5,0,0
Dadra and Nagar Haveli,2020-06-11,-51,29,-50,-74,-14,11,1,0,0
Dadra and Nagar Haveli,2020-06-12,-52,46,-55,-69,-14,12,0,0,0
Dadra and Nagar Haveli,2020-06-13,-50,41,-55,-72,-14,12,5,0,0
Dadra and Nagar Haveli,2020-06-14,-44,59,-55,-58,-5,11,4,0,0
Dadra and Nagar Haveli,2020-06-15,-51,31,-48,-75,-14,12,0,0,0
Dadra and Nagar Haveli,2020-06-16,-50,43,-45,-69,-14,10,15,7,0
Dadra and Nagar Haveli,2020-06-17,-52,32,-47,-73,-15,10,5,3,0
Dadra and Nagar Haveli,2020-06-18,-55,20,-49,-60,-15,12,4,2,0
Dadra and Nagar Haveli,2020-06-19,-54,40,-53,-65,-15,13,14,0,0
Dadra and Nagar Haveli,2020-06-20,-54,29,-53,-58,-14,13,17,12,0
Dadra and Nagar Haveli,2020-06-21,-60,16,-60,-65,-10,16,5,1,0
Dadra and Nagar Haveli,2020-06-22,-53,28,-46,-61,-16,13,15,0,0
Dadra and Nagar Haveli,2020-06-23,-53,33,-49,-65,-17,11,9,0,0
Daman and Diu,2020-03-21,-30,-11,-49,NA,-5,5,0,0,0
Daman and Diu,2020-03-22,-79,-86,-79,-75,-59,26,0,0,0
Daman and Diu,2020-03-23,-51,-36,-52,-53,-22,14,0,0,0
Daman and Diu,2020-03-24,-62,-51,-58,-58,-54,24,0,0,0
Daman and Diu,2020-03-25,-75,-68,-64,-72,-72,33,0,0,0
Daman and Diu,2020-03-26,-73,-69,-62,-72,-70,34,0,0,0
Daman and Diu,2020-03-27,-74,-70,-69,-75,-69,33,0,0,0
Daman and Diu,2020-03-28,-77,-73,-72,-76,-69,35,0,0,0
Daman and Diu,2020-03-29,-79,-79,-80,-79,-58,28,0,0,0
Daman and Diu,2020-03-30,-75,-68,-64,-73,-67,34,0,0,0
Daman and Diu,2020-03-31,-74,-67,-65,-71,-68,33,0,0,0
Daman and Diu,2020-04-01,-75,-68,-65,-72,-67,34,0,0,0
Daman and Diu,2020-04-02,-75,-68,-66,-76,-69,35,0,0,0
Daman and Diu,2020-04-03,-73,-66,-66,-73,-66,33,0,0,0
Daman and Diu,2020-04-04,-75,-70,-70,-76,-66,35,0,0,0
Daman and Diu,2020-04-05,-77,-74,-78,-75,-55,27,0,0,0
Daman and Diu,2020-04-06,-76,-68,-66,-74,-67,34,0,0,0
Daman and Diu,2020-04-07,-80,-61,-75,-69,-64,33,0,0,0
Daman and Diu,2020-04-08,-82,-64,-74,-69,-65,33,0,0,0
Daman and Diu,2020-04-09,-80,-61,-74,-72,-64,35,0,0,0
Daman and Diu,2020-04-10,-80,-62,-75,-71,-65,36,0,0,0
Daman and Diu,2020-04-11,-83,-65,-78,-70,-64,37,0,0,0
Daman and Diu,2020-04-12,-83,-68,-84,-74,-53,28,0,0,0
Daman and Diu,2020-04-13,-81,-61,-74,-70,-60,35,0,0,0
Daman and Diu,2020-04-14,-81,-63,-75,-70,-66,34,0,0,0
Daman and Diu,2020-04-15,-81,-57,-75,-66,-58,33,0,0,0
Daman and Diu,2020-04-16,-86,-53,-82,-66,-57,34,0,0,0
Daman and Diu,2020-04-17,-87,-53,-83,-68,-56,33,0,0,0
Daman and Diu,2020-04-18,-88,-60,-86,-71,-54,34,0,0,0
Daman and Diu,2020-04-19,-89,-64,-89,-69,-44,27,0,0,0
Daman and Diu,2020-04-20,-87,-57,-83,-67,-51,32,0,0,0
Daman and Diu,2020-04-21,-87,-53,-82,-65,-51,31,0,0,0
Daman and Diu,2020-04-22,-87,-55,-83,-62,-52,31,0,0,0
Daman and Diu,2020-04-23,-86,-52,-81,-66,-51,31,0,0,0
Daman and Diu,2020-04-24,-86,-53,-82,-60,-49,31,0,0,0
Daman and Diu,2020-04-25,-87,-58,-86,-61,-48,32,0,0,0
Daman and Diu,2020-04-26,-87,-63,-89,-61,-34,25,0,0,0
Daman and Diu,2020-04-27,-86,-54,-82,-65,-45,32,0,0,0
Daman and Diu,2020-04-28,-83,-47,-82,-57,-42,27,0,0,0
Daman and Diu,2020-04-29,-83,-43,-81,-54,-41,28,0,0,0
Daman and Diu,2020-04-30,-81,-44,-80,-49,-39,28,0,0,0
Daman and Diu,2020-05-01,-80,-39,-83,-47,-51,31,0,0,0
Daman and Diu,2020-05-02,-81,-49,-84,-50,-34,27,0,0,0
Daman and Diu,2020-05-03,-83,-55,-89,-53,-23,23,0,0,0
Daman and Diu,2020-05-04,-80,-39,-81,-51,-32,25,0,0,0
Daman and Diu,2020-05-05,-77,-35,-81,-45,-31,24,0,0,0
Daman and Diu,2020-05-06,-76,-33,-81,-41,-30,23,0,0,0
Daman and Diu,2020-05-07,-73,-32,-80,-41,-30,22,0,0,0
Daman and Diu,2020-05-08,-74,-32,-84,-43,-28,22,0,0,0
Daman and Diu,2020-05-09,-77,-38,-86,-45,-27,24,0,0,0
Daman and Diu,2020-05-10,-76,-42,-90,-36,-16,19,0,0,0
Daman and Diu,2020-05-11,-76,-31,-83,-42,-26,23,0,0,0
Daman and Diu,2020-05-12,-74,-30,-81,-39,-26,22,0,0,0
Daman and Diu,2020-05-13,-76,-33,-81,-43,-26,21,0,0,0
Daman and Diu,2020-05-14,-75,-31,-78,-42,-26,20,0,0,0
Daman and Diu,2020-05-15,-74,-31,-79,-40,-21,19,0,0,0
Daman and Diu,2020-05-16,-77,-34,-81,-40,-20,21,0,0,0
Daman and Diu,2020-05-17,-78,-44,-86,-35,-15,18,0,0,0
Daman and Diu,2020-05-18,-76,-23,-79,-43,-22,20,0,0,0
Daman and Diu,2020-05-19,-74,-31,-76,-44,-22,19,0,0,0
Daman and Diu,2020-05-20,-74,-30,-76,-35,-24,19,0,0,0
Daman and Diu,2020-05-21,-74,-33,-75,-41,-24,21,0,0,0
Daman and Diu,2020-05-22,-74,-33,-77,-45,-21,20,0,0,0
Daman and Diu,2020-05-23,-76,-39,-80,-41,-21,21,0,0,0
Daman and Diu,2020-05-24,-76,-44,-85,-32,-14,18,0,0,0
Daman and Diu,2020-05-25,-75,-35,-76,-46,-29,22,0,0,0
Daman and Diu,2020-05-26,-74,-37,-76,-42,-21,19,0,0,0
Daman and Diu,2020-05-27,-74,-34,-75,-44,-21,18,0,0,0
Daman and Diu,2020-05-28,-73,-37,-76,-40,-22,20,0,0,0
Daman and Diu,2020-05-29,-74,-39,-77,-43,-20,20,0,0,0
Daman and Diu,2020-05-30,-76,-39,-79,-47,-16,20,0,0,0
Daman and Diu,2020-05-31,-77,-45,-84,-35,-12,17,0,0,0
Daman and Diu,2020-06-01,-73,-24,-75,-40,-19,18,0,0,0
Daman and Diu,2020-06-02,-72,-27,-73,-30,-17,16,0,0,0
Daman and Diu,2020-06-03,-78,-38,-74,-44,-51,28,0,0,0
Daman and Diu,2020-06-04,-71,-21,-75,-33,-15,16,0,0,0
Daman and Diu,2020-06-05,-72,-26,-76,-38,-13,14,0,0,0
Daman and Diu,2020-06-06,-72,-21,-80,-47,-11,15,0,0,0
