Date,State,Confirmed,Recovered,Deceased,Migrated,Tested,cases_daily,tested_daily
2020-06-05,West Bengal,7303,2912,366,0,251517,427,9686
2020-06-06,West Bengal,7738,3119,383,0,261288,435,9771
2020-06-07,West Bengal,8187,3303,396,0,271074,449,9786
2020-06-08,West Bengal,8613,3465,405,0,280098,426,9024
2020-06-09,West Bengal,8985,3620,415,0,287900,372,7802
2020-06-10,West Bengal,9328,3779,432,0,297419,343,9519
2020-06-11,West Bengal,9768,3988,442,0,306941,440,9522
2020-06-12,West Bengal,10244,4206,451,0,315699,476,8758
2020-06-13,West Bengal,10698,4542,463,0,324707,454,9008
2020-06-14,West Bengal,11087,5060,475,0,333733,389,9026
2020-06-15,West Bengal,11494,5494,485,0,343242,407,9509
2020-06-16,West Bengal,11909,6028,495,0,351754,415,8512
2020-06-17,West Bengal,12300,6533,506,0,360976,391,9222
2020-06-18,West Bengal,12735,7001,518,0,370291,435,9315
2020-06-19,West Bengal,13090,7303,529,0,380612,355,10321
2020-06-20,West Bengal,13531,7865,540,0,390942,441,10330
2020-06-21,West Bengal,13945,8297,555,0,401491,414,10549
2020-06-22,West Bengal,14358,8687,569,0,410854,413,9363
2020-06-23,West Bengal,14728,9218,580,0,420277,370,9423
2020-06-24,West Bengal,15173,9702,591,0,429766,445,9489
2020-06-25,West Bengal,15648,10190,606,0,439258,475,9492
2020-06-26,West Bengal,16190,10535,616,0,448795,542,9537
2020-06-27,West Bengal,16711,10789,629,0,458343,521,9548
2020-06-28,West Bengal,17283,11193,639,0,468906,572,10563
2020-06-29,West Bengal,17907,11719,653,0,478419,624,9513
2020-06-30,West Bengal,18559,12130,668,0,488038,652,9619
2020-07-01,West Bengal,19170,12528,683,0,497596,611,9558
2020-07-02,West Bengal,19819,13037,699,0,508001,649,10405
2020-07-03,West Bengal,20488,13571,717,0,519054,669,11053
2020-07-04,West Bengal,21231,14166,736,0,530072,743,11018
2020-07-05,West Bengal,22126,14711,757,0,541088,895,11016
2020-07-06,West Bengal,22987,15235,779,0,552007,861,10919
2020-07-07,West Bengal,23837,15790,804,0,562137,850,10130
2020-07-08,West Bengal,24823,16291,827,0,572523,986,10386
2020-07-09,West Bengal,25911,16826,854,0,583328,1088,10805
2020-07-10,West Bengal,27109,17348,880,0,593967,1198,10639
2020-07-11,West Bengal,28453,17959,906,0,605370,1344,11403
2020-07-12,West Bengal,30013,18581,932,0,617079,1560,11709
2020-07-13,West Bengal,31448,19213,956,0,627438,1435,10359
2020-07-14,West Bengal,32838,19931,980,0,638540,1390,11102
2020-07-15,West Bengal,34427,20680,1000,0,649928,1589,11388
2020-07-16,West Bengal,36117,21415,1023,0,663108,1690,13180
2020-07-17,West Bengal,38011,22253,1049,0,676348,1894,13240
2020-07-18,West Bengal,40209,23539,1076,0,689813,2198,13465
2020-07-19,West Bengal,42487,24883,1112,0,703284,2278,13471
2020-07-20,West Bengal,44769,26418,1147,0,716365,2282,13081
2020-07-21,West Bengal,47030,28035,1182,0,729429,2261,13064
2020-07-22,West Bengal,49321,29650,1221,0,743469,2291,14040
2020-07-23,West Bengal,51757,31656,1255,0,758027,2436,14558
2020-07-24,West Bengal,51757,31656,1255,0,758027,0,0
